user,created_at,version,body,score,positive,negative,sum
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,cc @gengliangwang FYI,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Sorry for late responses. We should better have this feature parity. But I need to check w/ the concern about storage level (raised internally). I will ping the guy to comment here.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-2    ",1,-2,-1
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Let's do this kind of cleaning when we touch the codes around here next time.,"2,-1    ",2,-1,1
6477701,2023/2/15,v3.3.2,Merged to master.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,"FYI, bunch of Scala 2.13 tests fail (https://github.com/apache/spark/actions/runs/4187249065/jobs/7256849374#step:9:19944) should be fixed before cutting RC cc @xinrong-meng ","1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
6477701,2023/2/16,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,Merged to master.,"2,-1    ",2,-1,1
6477701,2023/2/16,v3.3.2,I remember Guava upgrade is also blocked by Hive .. IIRC .. ,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,cc @cloud-fan ,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,cc @juliuszsompolski @cloud-fan FYI,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,Thanks for fixing this. Merged to master and branch-3.4.,"1,-3    ",1,-3,-2
6477701,2023/2/16,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,im fine w/ that,"1,-1    ",1,-1,0
6477701,2023/2/16,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/17,v3.3.2,"Yeah, let's close. I don't think this is an issue.","1,-1    ",1,-1,0
6477701,2023/2/17,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/17,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/18,v3.3.2,Merged to master and branch-3.4.,"3,-1    ",3,-1,2
6477701,2023/2/20,v3.3.2,I think we should better file a JIRA.,"1,-1    ",1,-1,0
6477701,2023/2/20,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/20,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/21,v3.4.0-rc1,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
6477701,2023/2/21,v3.4.0-rc1,Let's probably don't add it to branch-3.4 ...,"1,-1    ",1,-1,0
6477701,2023/2/21,v3.4.0-rc1,Merged to master.,"1,-1    ",1,-1,0
6477701,2023/2/22,v3.4.0-rc1,+1 to raise a discussion thread in mailing list,"1,-1    ",1,-1,0
6477701,2023/2/22,v3.4.0-rc1,"Per the discussion in https://lists.apache.org/thread/1p8s09ysrh4jqsfd47qdtrl7rm4rrs05, I will merge this in with few days if there's no objection.","1,-1    ",1,-1,0
6477701,2023/2/22,v3.4.0-rc1,Merged to master.,"1,-1    ",1,-1,0
